,username,date,description,location,following,followers,totaltweets,retweetcount,text,hashtags
22,yukeysx,2022-03-08 08:05:58+00:00,,,65,3,1764,167,"Kelmarin result PCR saya keluar, + covid.

Bila post kat group family besar, berlambak petua sedara mara bagi.

- Minum air kelapa
- Minum madu + lemon
- Makan panadol
- Kumur air garam
- Makan sup ketam

Alhamdulillah kita ikhtiar, tapi ada satu petua yang bagi saya berkesan. https://t.co/pti9T379lF",[]
23,wowo_rock,2022-03-08 08:05:54+00:00,Movies Lover And Supporter Manchester United. #MUFC #GGMU❤️,Indonesia,463,180,3240,0,"Masalahnya bukan seri/kalah, tapi ada pada match dari beberapa klub yg menyimpan laga tunda, alasanya ketika itu para pemain/staf terpapar covid, Arsenal menyimpan tiga laga tunda Tottenham dua laga tunda, semestinya semua match sama rata, jangan ada yg ditunda. #MUFC #GGMU https://t.co/MMpNxAuc5v","['MUFC', 'GGMU']"
24,Manis553,2022-03-08 08:05:46+00:00,Can,,52,52,10,0,"Melalui vaksinasi kita harapkan bisa mencegah seseorang tidak mudah terpapar Covid-19
#BaktiEmasPKK https://t.co/3aovJEv52e",['BaktiEmasPKK']
25,damkardepok,2022-03-08 08:05:40+00:00,"Dinas Pemadam Kebakaran dan Penyelamatan Kota Depok.
Jl. Boulevard Grand Depok City, 021-77827280","Depok, Jawa Barat",46,956,1755,0,Kegaiatan Pemberian Paker Prokes Covid-19 dan Donor Darah dalam rangka memeriahkan HUT DAMKAR ke-103 https://t.co/jXcXhxuVc9,[]
26,Afdzal_,2022-03-08 08:05:37+00:00,"Attitude is everything.That is the only thing I want.
Trust no one.",Malaysia-Jordan,192,173,18936,416,"Kongsi TOP 5 YOUTUBE CHANNEL yang aku binge sepanjang kuarantin Covid lepas.

1. Dianxi Xiaoge.

Sejak Liziqi menghilang hampir setahun, aku bertukar ke Apenjie &amp; anjingnya Dawang.

Dia bujang tapi pandai masak (kuantiti banyak) untuk keluarga besar dia.

https://t.co/hVkRcEXjzq https://t.co/rChh61Z9CW",[]
27,Selalubejo3,2022-03-08 08:05:32+00:00,Selalu Bejo,,109,89,79,0,"Di samping itu, Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi. Semangat selalu
#BaktiEmasPKK https://t.co/vMh1Pfs3xM",['BaktiEmasPKK']
28,ardianr_,2022-03-08 08:05:31+00:00,Empty wallet? Dont have money? REGISTER BIGPAY FOR GET RM40 👇🏻 here the link,"İstanbul, Türkiye",207,273,4372,0,Ya Allah moga dipermudahkan urusan untuk kerja. Jauhila adia drpd covid. Saya tiada duit ni😔 lama sgt quarantine duit pon dah habis.,[]
29,holic00011,2022-03-08 08:05:31+00:00,Indonesian citizen🇮🇩,,71,17,29,0,@HyunaHena iya nih udh bosen nganggur ga ada kerjaan karena kampret covid,[]
30,Nawzys,2022-03-08 08:05:28+00:00,“I’m thinking Dorsia”,Kuala Lumpur City,82,35,8190,0,Dah booster pun melepet jugak lagi. Kuat betul penangan covid ni,[]
31,haibundacom,2022-03-08 08:05:25+00:00,Paling Tahu Bunda,Indonesia,38,6517,77819,0,"Bunda yang pernah positif COVID-19, nggak perlu was-was kalau mau promil alias program hamil. Selama kondisi tubuh baik, promil bisa dilakukan segera setelah sembuh.

Jangan lupa, pastikan kondisi Bunda dengan konsultasi ke dokter ya. https://t.co/FPf6fUbw9I",[]
32,adlinaabr,2022-03-08 08:05:22+00:00,my endless blue 🦋 Suho,,490,335,59615,0,patient nephro covid ni boleh bukak satu ward… ramainya 😮‍💨,[]
33,GorengTahu__,2022-03-08 08:05:14+00:00,,,2,0,15,1,"Karena menurut Ridwan Kamil, Jika pemerintah pusat telah menetapkan status pandemi menjadi endemi maka COVID-19 akan dianggap seperti penyakit flu biasa karena sudah tidak membahayakan.
#IndonesiaJuara
#RidwanKamilPresiden https://t.co/RmlMNIaqAf",[]
34,ejanzman,2022-03-08 08:05:14+00:00,Huznuzon..,Kulim,331,258,18610,73,"‘Peralihan Ke Endemik’ merupakan satu pendekatan menyeluruh dalam menuju hidup bersama Covid-19.

#MenangBersama
#LindungDiriLindungSemua
#KeluargaMalaysia
#JabatanPenerangan https://t.co/XNXAQqYunb",['MenangBersama']
35,pastelhajar,2022-03-08 08:05:00+00:00,food + travel ❤️,,9,0,89,0,Time mkn ayam gepuk tetiba ada pompuan dtg dekat dgn ta pakai mask hulur suruh rasa smbal dia. Dia jual smbal😅 takut aku musim2 covid ni. Aku trus tipu aku x mkn smbal tp aku tgh mkn ayam gepuk kot. Tatawu la nmpak ta logik tp x de idea dah na tipu apa🥲,[]
36,swurspen,2022-03-08 08:04:58+00:00,,,23,12,292,0,"semoga program PKK yang sudah dijalankan ini dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19,
#BaktiEmasPKK https://t.co/mfAG5pHzP7",['BaktiEmasPKK']
37,GorengTahu__,2022-03-08 08:04:58+00:00,,,2,0,15,1,"Karena menurut Ridwan Kamil, Jika pemerintah pusat telah menetapkan status pandemi menjadi endemi maka COVID-19 akan dianggap seperti penyakit flu biasa karena sudah tidak membahayakan.
#IndonesiaJuara
#RidwanKamilPresiden https://t.co/RmlMNIaqAf","['IndonesiaJuara', 'RidwanKamilPresiden']"
38,ManggalaMichael,2022-03-08 08:04:56+00:00,,,5,1,14,0,Semoga dengan adanya program vaksinasi ini dapat mencegah penyebaran virus covid-19 #BaktiEmasPKK https://t.co/2l0AchWhQo,['BaktiEmasPKK']
39,shepherdst,2022-03-08 08:04:48+00:00,"@chaotic_school         #tasikShiningCity",Tasikmalaya,756,251,4118,20,"Aksi Aliansi Rakyat Menggugat (ARM) di depan Kedubes Amerika, Jakarta.. (8/Mart/2022)

Dengan Tuntutan:
•Stop Mandatori Vaksin
•Usut Tuntas Bisnis PCR
•Tangkap &amp; Adili LBP dan Erick Tohir
•Audit PCR &amp; Test Alat Covid.. (Cc. @MprAldo) https://t.co/198TMmNJUk",[]
40,Ambarsari1511,2022-03-08 08:04:48+00:00,Selalu bahagia,,132,111,256,0,"Melalui vaksinasi kita harapkan bisa mencegah seseorang tidak mudah terpapar Covid-19. Yuk kita sukseskan vaksinasi

#BaktiEmasPKK https://t.co/hnovkOGtze",['BaktiEmasPKK']
41,neng_di2,2022-03-08 08:04:38+00:00,"tidak suka zona Aman, NKRI harga Mati.NKRI tak butuh Wong Ruwet.",,2177,3602,942,1,"Ngobrol bareng sing gayeng, rasah demo sik, ndak keno covid

https://t.co/zhNG9PktXn https://t.co/EnXei1BNF0",[]
42,ygterhormat,2022-03-08 08:04:32+00:00,the account from 2012 is no longer active but this one,,328,37,4516,0,"Twit sebelumnya emg aku bilang ke ortuku gausah dateng gpp karna se ga mood itu wisuda pas covid ditambah ga bareng sama temen deket. Alias wisuda ini ikut cuma formalitas aja karna dah bayar mahal we🤣
kalo ga bayar2 mah mending langsung dapet ijazah aja kalo aku asli wkwk🙏",[]
43,ameeeliaaaa,2022-03-08 08:04:31+00:00,choose growing instead of glowing,Johor Bahru,44,170,48955,0,"Ayah ni boleh tahan degil juga tau. Aku pernah kena covid aku tahu. Bukan aku suka tak bagi dia kemas sana sini. Nanti bila penat, jadi semput, nafas pun susah lagi teruk. Sikit pun taknak dengar cakap hishhhhh",[]
44,kominfobogor,2022-03-08 08:04:29+00:00,Akun twitter resmi Dinas Komunikasi dan Informatika (DISKOMINFO) Kota Bogor | IG : kominfo bogor,Kota Bogor - Jawa Barat,202,5191,4955,0,"Update data covid19 tgl 07/03/2022 pukul 15.51

Sumber: juru bicara Covid-19 Kota Bogor (Dinas Kesehatan Kota Bogor)

#pemkotbogor #diskominfokotabogor #dinkeskotabogor #bogorlawancorona https://t.co/GCQSgNiSfK","['pemkotbogor', 'diskominfokotabogor', 'dinkeskotabogor', 'bogorlawancorona']"
45,ataeera,2022-03-08 08:04:28+00:00,🥰,Telok Panglima Garang,821,2637,100230,167,"Kelmarin result PCR saya keluar, + covid.

Bila post kat group family besar, berlambak petua sedara mara bagi.

- Minum air kelapa
- Minum madu + lemon
- Makan panadol
- Kumur air garam
- Makan sup ketam

Alhamdulillah kita ikhtiar, tapi ada satu petua yang bagi saya berkesan. https://t.co/pti9T379lF",[]
46,QianzyZ,2022-03-08 08:04:22+00:00,Pengamat politik,,1524,1403,1347,179,"Jangan sampai ada alasan lagi untuk tidak memberangkatkan Haji....
Atau punya alasan apa lagi kut? https://t.co/WS9FdOspIy https://t.co/Op7nwb7lvi",[]
47,suaragerimis,2022-03-08 08:04:14+00:00,,,11,2,10,0,"Bos gue jelmaan syaiton model apaa sih, udah brainless heartless lagi. Ada yaa orang ijin isoman, cuman di read doang. Astaghfirullah dibales ""ok"" doang apa susahnya sih. Se ngga punya empati itukah dia, kena covid sampe sesak nafas mangap2 tau rasa lo!",[]
48,fizie26,2022-03-08 08:04:10+00:00,Replaceable,East Coast,846,411,55064,289,"Orang dok sibuk banjir la pendemik covid la, BN sibuk nak #PRNJohor so nah ambik lagu pilihan[raya] buat orang Johor semoga rakyat Johor pulang dengan feeling raya dan tolak BN. Sibuk sangat nak PRN sampai 150juta kos. #BalikTolakBN muahahahaha https://t.co/YGBmijhfK9",['PRNJohor']
49,syamim_zulkifly,2022-03-08 08:04:09+00:00,"Little Warrior ⚡
Ummu Luqman 👶🏻",,196,331,7693,0,"Nak admit kan diri sebab AGE, tp kena reject dgn private &amp; uni hospital sbb post covid. Maka marilah kita self treatment kan diri.",[]
50,satlantas_kudus,2022-03-08 08:04:04+00:00,MENUJU INDONESIA TERTIB BERSATU KESELAMATAN NOMOR 1,Jl. Kudus Pati KM 10 ,179,1815,6473,0,pembagian masker ops Keselamatan Lalu Lintas Candi 2022 dalam rangka mencegah penyebaran covid 19 dan tetap menerapkan protokol kesehatan https://t.co/Tp4IRpBzk3,[]
51,InhuSat,2022-03-08 08:04:02+00:00,"Melindungi, mengayomi dan melayani",,5,4,2571,0,"Himbauan Patuhi Protokol Kesehatan

Himbauan terkait pendisiplinan masyarakat dalam rangka adaptasi kebiasaan baru guna mencegah penyebaran covid-19. 

@divisihumaspolri @humaspolda_riau @polisi_indonesia @tribratanewscom @halo_polisi @polisi_ku @tribratanewscom @berita_tribrata https://t.co/DY1KSyIFIc",[]
52,Dadah_27,2022-03-08 08:03:55+00:00,,,1,0,178,0,"Di samping itu, Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi. 

#BaktiEmasPKK https://t.co/tQVidJYjSK",['BaktiEmasPKK']
53,uwuhuhuu,2022-03-08 08:03:54+00:00,y mw gmn lg,S E L E C T I V E,2405,2628,6607,79,"Member lain pas berkumpul ria sama temennya : ""ih ko gemes, ihh sering² ya kaya gini""
Giliran bahiyyih : ""ih ko berani bngt si dia, ga mikirin covid apa ya? takut nanti bawa virus buat member lain. 

Gajelas lu pada!! 

#WakeoneProtectBahiyyih
#BahiyyihDeservesLove",[]
54,IWBTBU,2022-03-08 08:03:52+00:00,mbamba gendats • gak nyari partner dlm bentuk apapun • akun dalam pantauan senyap,,880,1079,6618,0,"@aryalionelputra Hahhaha covid, gabs d jenguk",[]
55,mat4g13,2022-03-08 08:03:52+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,"COVID-19 : Kesan Advers Susulan Imunisasi / Adverse Events Following Immunization (AEFI)

Saksikan menerusi TikTok Live @MyHealthKKM pada pukul 3.00 petang esok bersama Puan Nurul Aimi Mohd Reduzan, Ketua Penolong Pengarah Kanan dari Bahagian regulatori … https://t.co/XwlONqd6C0",[]
56,ClassyRosce,2022-03-08 08:03:51+00:00,IPHONE CASING | ANDROID CASING,,179,776,197801,79,"TRAVEL INSURANCE WITH COVID RELATED BENEFITS‼️

Border dah nak buka soon so apa first thing korang kena buat lepas beli flight tiket ✈️? Beli travel insurance ☝️. Korang WAJIB beli yg ada Covid Coverage. 

Ni sis nak share few insurance yang offer such benefit
⬇️⬇️⬇️",[]
57,mat4g13,2022-03-08 08:03:50+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,"COVID-19 : Long COVID 

Dengarkan di Gegarfm esok pada pukul 8.00 pagi bersama Dr. Syazatul Syakirin Sirol Aflah, Pakar Perubatan Respiratori dari Institut Perubatan Respiratori. 

#ANMS 
#sihatsepanjanghayat 
#MalaysiaSihatSejahtera 
#COVID19 
#sihatmil… https://t.co/ZV8ULIfVA6","['ANMS', 'sihatsepanjanghayat', 'MalaysiaSihatSejahtera', 'COVID19', 'sihatmil']"
58,mat4g13,2022-03-08 08:03:50+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,RT @DGHisham: Kenyataan Akhbar KPK 8 Mac 2022 – Situasi Semasa Jangkitan Penyakit Coronavirus 2019 (COVID-19) https://t.co/1nc6Qmhknu,[]
59,mat4g13,2022-03-08 08:03:49+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,RT @DGHisham: Kadar kebolehjangkitan Covid-19 atau Ro/Rt pada jangkaan mengikut kes seharian pada 7 hb March 2022 untuk seluruh negara adalah  1.05. Manakala pecahan mengikut negeri adalah seperti di lampiran https://t.co/bgwP275YJi,[]
60,mat4g13,2022-03-08 08:03:49+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,"RT @KKMPutrajaya: Kenyataan Media Kementerian Kesihatan Malaysia

Mass Cataract Surgery Initiative (MCSI) Tawau Bagi Mengurangkan Kes-Kes Bukan COVID-19 Tertunggak https://t.co/O91e7OtN12",[]
61,mat4g13,2022-03-08 08:03:47+00:00,untuk masa depan anak cucuku,Bumi Tuhan,831,794,193651,0,"Tibi (bakteria) &amp; COVID-19 (virus)

Jangkitan Tibi &amp; COVID-19 boleh berlaku secara serentak dan komplikasinya lebih serius.

Sumber:
https://t.co/G8fxey6Dsc https://t.co/cqozOzJz5o via @FacebookWatch",[]
62,pisang_haziq,2022-03-08 08:03:45+00:00,bon voyage ⛵️,UPM,349,354,149462,1,Dah la. Aku punya tahap single tu sampai covid pun takmau kat aku 🤧 https://t.co/sgkGn488YK,[]
63,Lestari11Angie,2022-03-08 08:03:42+00:00,,,154,125,88,0,"Menurutnya, upaya tersebut dapat memperkuat kekebalan tubuh seseorang sehingga tidak mudah terpapar Covid-19. Karena itu, Tri berharap program vaksinasi ini dapat menjangkau lebih banyak masyarakat, terutama bagi mereka yang belum divaksinasi. vaksinasi penting

#BaktiEmasPKK https://t.co/d5BMCtrP3b",['BaktiEmasPKK']
64,feliyonggi,2022-03-08 08:03:35+00:00,,,0,1,4,0,"Di samping itu, Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi yang sekarang kurang membaik
#BaktiEmasPKK https://t.co/0ilYhxpj1O",['BaktiEmasPKK']
65,me_rollan,2022-03-08 08:03:32+00:00,It all start’s with a dream. KOLAxBORASI Brand Lokal. #BW Lovers.,Unknown,126,54,261,20,"Aksi Aliansi Rakyat Menggugat (ARM) di depan Kedubes Amerika, Jakarta.. (8/Mart/2022)

Dengan Tuntutan:
•Stop Mandatori Vaksin
•Usut Tuntas Bisnis PCR
•Tangkap &amp; Adili LBP dan Erick Tohir
•Audit PCR &amp; Test Alat Covid.. (Cc. @MprAldo) https://t.co/198TMmNJUk",[]
66,News24Xx,2022-03-08 08:03:32+00:00,News24xx are news sites that proclaim the events that happened in the world and inform to all corners of the world,Indonesia,90,214,41477,0,"2 Anak Positif Covid-19, Meninggal di Hong Kong https://t.co/1i9bRW1XFB",[]
67,fmtoday,2022-03-08 08:03:29+00:00,"Free and Independent 🇲🇾 
Instagram: @freemalaysiatoday Tik Tok: @freemalaysiatoday",Malaysia,2,265210,315999,0,Premier Sarawak positif Covid-19 #FMTNews  https://t.co/k12HH6wQj4,['FMTNews']
68,HumasPolresHST9,2022-03-08 08:03:14+00:00,"Objektif, Dipercaya dan Partisipasi",Polres Hulu Sungai Tengah,544,1325,4091,0,"Dukung Program Percepatan Vaksinasi Covid 19

Polres HST laksanakan giat Vaksinasi Covid 19 bertempat di Mako Polres HST

Selasa 8/3/2022 https://t.co/C3AtyiwyHu",[]
69,hyo_an1,2022-03-08 08:03:11+00:00,,,14,10,228,0,"Tri mengatakan, vaksinasi merupakan langkah penting di tengah pandemi Covid-19 untuk mencegah penularan virus  

#BaktiEmasPKK https://t.co/NPSAQmeTnG",['BaktiEmasPKK']
70,satlantas_kudus,2022-03-08 08:03:10+00:00,MENUJU INDONESIA TERTIB BERSATU KESELAMATAN NOMOR 1,Jl. Kudus Pati KM 10 ,179,1815,6473,0,sosialisasi Ops Keselamatan  Lalu Lintas Candi 2022 terhadap pengguna jalan  dalam rangka meningkatkan kepatuhan dan disiplin masyarakat dalam berlalu lintas dengan tetap menerapkan protokol kesehatan guna cegah covid 19 https://t.co/4I6uwrawVs,[]
71,4sem_Maniz,2022-03-08 08:03:08+00:00,.,,4916,5640,17221,0,"Target ngabisin jutaan dosis lg 🤦
 https://t.co/Hm02O2M9At",[]
72,AsmawiSq,2022-03-08 08:03:07+00:00,kèrè asal sombong,"Pamulang, Indonesia",14,3,3,6,"Alhamdulillah, saya telah melaporkan SPT Pajak Tahun 2021 melalui e-filling.

Pada masa pandemi Covid-19 saat ini, pelaporan SPT Pajak melalui e-filling sangat membantu masyarakat dalam mengurangi mobilitas dan menghindari resiko terpapar Covid-19. https://t.co/zI0EgxmtME",[]
73,MediaCenter_TMG,2022-03-08 08:03:07+00:00,email : mediacenter.temanggung@gmail.com,"Temanggung, Indonesia",229,1154,3157,0,"Bupati: Kasus Covid Masih Fluktuatif, Masyarakat Harus Waspada dan Terapkan Prokes

Selengkapnya :
https://t.co/9540lnReuG https://t.co/d5xMFpnFpa",[]
74,jhwan00,2022-03-08 08:03:04+00:00,,World,963,399,260572,1,"PPKM Level 3 di Kota Kupang, NTT, berlaku mulai 1 Maret hingga 14 Maret 2022 mendatang. Sejumlah pembatasan diberlakukan. https://t.co/CuazFXxotc",[]
75,PemkotaBogor,2022-03-08 08:03:04+00:00,Pengaduan melalui aplikasi SiBadra | email: bag.humas@kotabogor.go.id,Bagian Humas Balaikota Bogor,365,29991,29160,0,"Update data covid19 tgl 07/03/2022 pukul 15.51

Sumber: juru bicara Covid-19 Kota Bogor (Dinas Kesehatan Kota Bogor)

#pemkotbogor #diskominfokotabogor #dinkeskotabogor #bogorlawancorona https://t.co/GqqjZy7a9z","['pemkotbogor', 'diskominfokotabogor', 'dinkeskotabogor', 'bogorlawancorona']"
76,KaneshaGuiney12,2022-03-08 08:03:02+00:00,,,275,86,135,0,"Di samping itu, Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi, semamgat selalu
#BaktiEmasPKK https://t.co/X9GfK6RvWT",['BaktiEmasPKK']
77,na_na440,2022-03-08 08:02:59+00:00,,,11,9,193,0,"""Melalui vaksinasi kita harapkan bisa mencegah penularan virus agar seseorang tidak mudah terpapar Covid-19,"" ujarnya. 

#BaktiEmasPKK https://t.co/aRSKOyDwBU",['BaktiEmasPKK']
78,Nandyarahmawat1,2022-03-08 08:02:52+00:00,Be myself,,143,124,314,0,"Tri mengatakan, vaksinasi merupakan langkah yang sangat penting di tengah pandemi Covid-19. 

#BaktiEmasPKK https://t.co/1ol8Ltgqnl",['BaktiEmasPKK']
79,DaunSampe2,2022-03-08 08:02:50+00:00,,,0,0,111,0,"Melalui vaksinasi kita harapkan bisa mencegah seseorang tidak mudah terpapar Covid-19,"" ujarnya. 

#BaktiEmasPKK https://t.co/yYfpW9CXKP",['BaktiEmasPKK']
80,Aeri056_,2022-03-08 08:02:45+00:00,,,13,8,183,0,"Di samping itu, Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi. 

#BaktiEmasPKK https://t.co/zB06sjczgW",['BaktiEmasPKK']
81,Koramil08sbj,2022-03-08 08:02:45+00:00,,,6,5,175,0,Babinsa Karangudi Koramil 07/Ngrampal Pelda Natalis menghimbau kepada para pedagang dan pengunjung pasar Gonggang kec Ngrampal untuk selalu mematuhi Protokol Kesehatan agar kita semua terhindar dari penyebaran Virus Covid 19. https://t.co/cnvWZ3IXwP,[]
82,gilang648,2022-03-08 08:02:41+00:00,sendu,,13,13,27,0,"Di samping itu, Tri pun berharap program tersebut dapat membantu masyarakat, utamanya di Kepri utk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi Indonesia
#BaktiEmasPKK https://t.co/B5eQuTHbMS",['BaktiEmasPKK']
